,province,date
0,Busan_Cdate,5
1,Busan_Cdate,2
2,Busan_Cdate,6
3,Busan_Cdate,8
4,Busan_Cdate,3
5,Busan_Cdate,2
6,Busan_Cdate,4
7,Busan_Cdate,5
8,Busan_Cdate,3
9,Busan_Cdate,6
10,Busan_Cdate,6
11,Busan_Cdate,3
12,Busan_Cdate,12
13,Busan_Cdate,1
14,Busan_Cdate,2
15,Busan_Cdate,10
16,Busan_Cdate,27
17,Busan_Cdate,1
18,Busan_Cdate,4
19,Busan_Cdate,1
20,Busan_Cdate,8
21,Busan_Cdate,4
22,Busan_Cdate,1
23,Busan_Cdate,2
24,Busan_Cdate,1
25,Busan_Cdate,6
26,Busan_Cdate,5
27,Busan_Cdate,0
28,Busan_Cdate,7
29,Busan_Cdate,6
30,Busan_Cdate,1
31,Busan_Cdate,1
32,Busan_Cdate,3
33,Busan_Cdate,4
34,Busan_Cdate,1
35,Busan_Cdate,0
36,Busan_Cdate,1
37,Busan_Cdate,1
38,Busan_Cdate,1
39,Busan_Cdate,5
40,Busan_Cdate,8
41,Busan_Cdate,1
42,Busan_Cdate,4
43,Busan_Cdate,0
44,Busan_Cdate,2
45,Busan_Cdate,6
46,Busan_Cdate,4
47,Busan_Cdate,6
48,Busan_Cdate,2
49,Busan_Cdate,3
50,Busan_Cdate,4
51,Busan_Cdate,5
52,Busan_Cdate,5
53,Busan_Cdate,1
54,Busan_Cdate,1
55,Busan_Cdate,0
56,Busan_Cdate,3
57,Busan_Cdate,1
58,Busan_Cdate,3
59,Busan_Cdate,1
60,Busan_Cdate,3
61,Busan_Cdate,5
62,Busan_Cdate,7
63,Busan_Cdate,10
64,Busan_Cdate,13
65,Busan_Cdate,6
66,Busan_Cdate,2
67,Busan_Cdate,5
68,Busan_Cdate,2
69,Busan_Cdate,2
70,Busan_Cdate,1
71,Chungcheongbuk-do_Rdate,23
72,Chungcheongbuk-do_Rdate,19
73,Chungcheongbuk-do_Rdate,19
74,Chungcheongbuk-do_Rdate,41
75,Chungcheongbuk-do_Rdate,4
76,Chungcheongbuk-do_Rdate,25
77,Chungcheongbuk-do_Rdate,28
78,Chungcheongbuk-do_Rdate,20
79,Chungcheongbuk-do_Rdate,53
80,Chungcheongbuk-do_Rdate,26
81,Chungcheongbuk-do_Rdate,25
82,Chungcheongbuk-do_Rdate,27
83,Chungcheongbuk-do_Rdate,13
84,Chungcheongbuk-do_Rdate,30
85,Chungcheongbuk-do_Rdate,23
86,Chungcheongbuk-do_Rdate,14
87,Chungcheongbuk-do_Rdate,23
88,Chungcheongbuk-do_Rdate,23
89,Chungcheongbuk-do_Rdate,12
90,Chungcheongbuk-do_Rdate,8
91,Chungcheongbuk-do_Rdate,38
92,Chungcheongbuk-do_Rdate,12
93,Chungcheongbuk-do_Rdate,49
94,Chungcheongbuk-do_Rdate,19
95,Chungcheongbuk-do_Rdate,19
96,Chungcheongbuk-do_Rdate,13
97,Chungcheongbuk-do_Rdate,36
98,Chungcheongbuk-do_Rdate,32
99,Chungcheongbuk-do_Rdate,15
100,Chungcheongbuk-do_Rdate,49
101,Chungcheongbuk-do_Rdate,31
102,Chungcheongbuk-do_Rdate,33
103,Chungcheongbuk-do_Rdate,47
104,Chungcheongbuk-do_Rdate,17
105,Chungcheongbuk-do_Rdate,18
106,Chungcheongbuk-do_Rdate,24
107,Chungcheongbuk-do_Rdate,4
108,Chungcheongbuk-do_Rdate,24
109,Chungcheongbuk-do_Rdate,21
110,Chungcheongbuk-do_Rdate,14
111,Chungcheongbuk-do_Rdate,9
112,Chungcheongbuk-do_Rdate,29
113,Chungcheongbuk-do_Rdate,9
114,Chungcheongbuk-do_Rdate,33
115,Chungcheongbuk-do_Rdate,26
116,Chungcheongbuk-do_Rdate,15
117,Chungcheongbuk-do_Rdate,27
118,Chungcheongbuk-do_Rdate,19
119,Chungcheongbuk-do_Rdate,19
120,Chungcheongbuk-do_Rdate,21
121,Chungcheongnam-do_Cdate,1
122,Chungcheongnam-do_Cdate,5
123,Chungcheongnam-do_Cdate,5
124,Chungcheongnam-do_Cdate,1
125,Chungcheongnam-do_Cdate,1
126,Chungcheongnam-do_Cdate,5
127,Chungcheongnam-do_Cdate,1
128,Chungcheongnam-do_Cdate,1
129,Chungcheongnam-do_Cdate,1
130,Chungcheongnam-do_Cdate,3
131,Chungcheongnam-do_Cdate,2
132,Chungcheongnam-do_Cdate,4
133,Chungcheongnam-do_Cdate,5
134,Chungcheongnam-do_Cdate,2
135,Chungcheongnam-do_Cdate,4
136,Chungcheongnam-do_Cdate,4
137,Chungcheongnam-do_Cdate,7
138,Chungcheongnam-do_Cdate,3
139,Chungcheongnam-do_Cdate,3
140,Chungcheongnam-do_Cdate,3
141,Chungcheongnam-do_Cdate,1
142,Chungcheongnam-do_Cdate,6
143,Chungcheongnam-do_Cdate,1
144,Chungcheongnam-do_Cdate,4
145,Chungcheongnam-do_Cdate,6
146,Chungcheongnam-do_Cdate,3
147,Chungcheongnam-do_Cdate,2
148,Chungcheongnam-do_Cdate,5
149,Chungcheongnam-do_Cdate,3
150,Chungcheongnam-do_Cdate,5
151,Chungcheongnam-do_Cdate,1
152,Chungcheongnam-do_Cdate,1
153,Chungcheongnam-do_Cdate,3
154,Chungcheongnam-do_Cdate,1
155,Chungcheongnam-do_Cdate,7
156,Chungcheongnam-do_Cdate,1
157,Chungcheongnam-do_Cdate,6
158,Chungcheongnam-do_Cdate,6
159,Chungcheongnam-do_Cdate,1
160,Chungcheongnam-do_Cdate,6
